timestamp,dateofrequest,inquirytype,howcontacted,researchtype,servicetimeminutes,datecompleted
2016-07-01 9:56:32,2016-07-01,Public,Telephone,General historical research,5,2016-07-01
2016-07-05 10:02:09,2016-07-01,Public,Email,General historical research,20,2016-07-05
2016-07-05 10:06:45,2016-07-01,Public,Email,General historical research,20,2016-07-05
2016-07-05 10:26:14,2016-07-05,Public,Telephone,Genealogy,,2016-07-05
2016-07-05 13:14:58,2016-07-05,Public,Telephone,Transcript request/Education verification,5,2016-07-05
2016-07-05 13:48:16,2016-07-01,Public,Email,General historical research,15,2016-07-05
2016-07-05 16:06:37,2016-07-05,Public,Telephone,Copyright inquiry,10,2016-07-05
2016-07-06 9:31:35,2016-07-05,Public,Telephone,Vital records,10,2016-07-05
2016-07-06 9:59:57,2016-07-06,Public,Telephone,Building or landscape research,5,2016-07-06
2016-07-06 10:37:34,2016-07-06,Public,Telephone,Book or academic article,15,2016-07-06
2016-07-06 11:39:23,2016-07-06,Public,Email,Genealogy,5,2016-07-06
2016-07-06 13:37:28,2016-07-06,Public,In Person,Building or landscape research,90,2016-07-06
2016-07-07 10:13:02,2016-07-06,Public,In Person,Film (documentary or feature),180,2016-07-07
2016-07-07 10:13:29,2016-07-07,Public,Telephone,Legal research,5,2016-07-07
2016-07-07 10:38:46,2016-07-07,Public,Telephone,Building or landscape research,5,2016-07-07
2016-07-07 11:03:19,2016-07-07,Public,Telephone,Transcript request/Education verification,5,2016-07-07
2016-07-07 14:18:37,2016-07-07,Public,In Person,Film (documentary or feature),90,2016-07-07
2016-07-07 15:01:57,2016-07-07,Public,Telephone,,5,2016-07-07
2016-07-07 15:17:44,2016-07-07,Public,Telephone,Graduate academic research,5,2016-07-07
2016-07-07 15:39:21,2016-07-07,Public,Telephone,Genealogy,10,2016-07-07
2016-07-07 15:57:24,2016-07-07,City Government Department,Telephone,Legal research,10,2016-07-07
2016-07-08 9:13:33,2016-07-01,Public,Telephone,"Journalism (newspaper, magazine, television, web news source)",240,2016-07-06
2016-07-08 14:38:06,2016-07-06,Public,Email,General historical research,120,2016-07-07
2016-07-08 16:09:17,2016-07-08,Public,In Person,Film (documentary or feature),240,2016-07-08
2016-07-08 16:10:02,2016-07-08,Public,In Person,Building or landscape research,180,2016-07-08
2016-07-08 16:10:42,2016-07-08,Public,In Person,Film (documentary or feature),240,2016-07-08
2016-07-11 9:47:13,2016-07-09,Public,Email,Genealogy,15,2016-07-11
2016-07-11 10:42:31,2016-07-11,Public,Telephone,Building or landscape research,10,2016-07-11
2016-07-11 10:54:20,2016-07-05,Public,Email,General historical research,5,2016-07-11
2016-07-11 10:59:57,2016-07-11,Public,Email,Graduate academic research,5,2016-07-11
2016-07-11 11:41:47,2016-07-11,Public,Telephone,Legal research,15,2016-07-11
2016-07-11 14:02:05,2016-07-11,Public,Email,Genealogy,5,2016-07-11
2016-07-11 15:24:40,2016-07-11,Public,Email,Genealogy,20,2016-07-11
2016-07-11 16:35:01,2016-07-11,Public,Telephone,Genealogy,10,2016-07-11
